time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T20:32:12.843,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:32:12.843,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:32:12.843,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:32:12.843,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:32:12.843,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T20:32:12.843,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T20:32:12.843,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:32:12.843,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:32:12.843,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:32:12.843,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:32:12.843,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:32:12.843,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:32:12.843,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T20:32:12.843,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:32:12.843,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T20:35:30.087,State,1306047,4143929,27.28,0,980,1734,25.59,0,0,0,0
2022-11-08T20:35:30.087,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:35:30.087,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:35:30.087,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:35:30.087,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:35:30.087,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T20:35:30.087,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T20:35:30.087,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:35:30.087,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:35:30.087,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:35:30.087,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:35:30.087,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T20:35:30.087,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:35:30.087,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T20:35:30.087,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:35:30.087,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T20:36:19.397,State,1328837,4143929,29.24,0,980,1734,25.59,0,0,0,0
2022-11-08T20:36:19.397,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:36:19.397,Cochise,22790,77394,29.45,0,0,55,0,0,0,0,0
2022-11-08T20:36:19.397,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
